year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2009,AMC 12,A,1,2009 AMC 12A Problem 1,"Kim’s flight took off from Newark at 10:34 AM and landed in Miami at 1:18 PM. Both cities are in the same time zone. If her flight took h hours and m minutes, with 0 < m < 60, what is h + m? (A) 46 (B) 47 (C) 50 (D) 53 (E) 54",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2009,AMC 12,A,2,2009 AMC 12A Problem 2,Which of the following is equal to 1 + 1 ? 1+ 1 1+1 (A) 5 (B) 3 (C) 5 (D) 2 (E) 3 4 2 3,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2009,AMC 12,A,3,2009 AMC 12A Problem 3,What number is one third of the way from 1 to 3 ? 4 4 (A) 1 (B) 5 (C) 1 (D) 7 (E) 2 3 12 2 12 3,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2009,AMC 12,A,4,2009 AMC 12A Problem 4,"Four coins are picked out of a piggy bank that contains a collection of pennies, nickels, dimes, and quarters. Which of the following could not be the total value of the four coins, in cents? (A) 15 (B) 25 (C) 35 (D) 45 (E) 55",,概率与统计,组合概率,概率;计数,分别计数有利情况与总情况，再化为概率。,
2009,AMC 12,A,5,2009 AMC 12A Problem 5,"One dimension of a cube is increased by 1, another is decreased by 1, and the third is left un- changed. The volume of the new rectangular solid is 5 less than that of the cube. What was the volume of the cube? (A) 8 (B) 27 (C) 64 (D) 125 (E) 216",,几何,空间几何,空间几何;体积,用截面、相似、体积或空间距离关系建模。,
2009,AMC 12,A,6,2009 AMC 12A Problem 6,"Suppose that P = 2m and Q = 3n. Which of the following is equal to 12mn for every pair of integers (m, n)? (A) P 2Q (B) P nQm (C) P nQ2m (D) P 2mQn (E) P 2nQm",,数论,整数构造,整数;构造,用整数范围、构造和极值条件筛选可能值。,
2009,AMC 12,A,7,2009 AMC 12A Problem 7,"The first three terms of an arithmetic sequence are 2x − 3, 5x − 11, and 3x + 1 respectively. The nth term of the sequence is 2009. What is n? (A) 255 (B) 502 (C) 1004 (D) 1506 (E) 8037",,代数,数列与递推,数列;递推,从递推式或数列结构中找显式式、周期或求和规律。,
2009,AMC 12,A,8,2009 AMC 12A Problem 8,Four congruent rectangles are placed as shown. The area of the outer square is 4 times that of the inner square. What is the ratio of the length of the longer side of each rectangle to the length of its shorter side? √ √ √ (A) 3 (B) 10 (C) 2 + 2 (D) 2 3 (E) 4,,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,题面包含图形
2009,AMC 12,A,9,2009 AMC 12A Problem 9,Suppose that f (x + 3) = 3x2 + 7x + 4 and f (x) = ax2 + bx + c. What is a + b + c? (A) −1 (B) 0 (C) 1 (D) 2 (E) 3,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2009,AMC 12,A,10,2009 AMC 12A Problem 10,"In quadrilateral ABCD, AB = 5, BC = 17, CD = 5, DA = 9, and BD is an integer. What is BD? A D C B (A) 11 (B) 12 (C) 13 (D) 14 (E) 15",,几何,三角形,三角形;角度,运用三角形边角关系、三角函数或面积公式。,
