year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2016,AMC 12,A,1,2016 AMC 12A Problem 1,What is the value of ? 9! (A) 99 (B) 100 (C) 110 (D) 121 (E) 132,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2016,AMC 12,A,2,2016 AMC 12A Problem 2,For what value of x does 10x · 1002x = 10005? (A) 1 (B) 2 (C) 3 (D) 4 (E) 5,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2016,AMC 12,A,3,2016 AMC 12A Problem 3,"The remainder can be defined for all real numbers x and y with y ̸= 0 by (cid:22) (cid:23) x rem(x, y) = x − y y (cid:106) (cid:107) where x denotes the greatest integer less than or equal to x . What is the value of rem( 3 , − 2 )? y y 8 5 (A) − 3 (B) − 1 (C) 0 (D) 3 (E) 31 8 40 8 40",,数论,整除与同余,同余;余数,把条件转化为同余或余数分类讨论。,
2016,AMC 12,A,4,2016 AMC 12A Problem 4,"The mean, median, and mode of the 7 data values 60, 100, x, 40, 50, 200, 90 are all equal to x. What is the value of x? (A) 50 (B) 60 (C) 75 (D) 90 (E) 100",,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,
2016,AMC 12,A,5,2016 AMC 12A Problem 5,"Goldbach’s conjecture states that every even integer greater than 2 can be written as the sum of two prime numbers (for example, 2016 = 13 + 2003). So far, no one has been able to prove that the conjecture is true, and no one has found a counterexample to show that the conjecture is false. What would a counterexample consist of? (A) an odd integer greater than 2 that can be written as the sum of two prime numbers (B) an odd integer greater than 2 that cannot be written as the sum of two prime numbers (C) an even integer greater than 2 that can be written as the sum of two numbers that are not prime (D) an even integer greater than 2 that can be written as the sum of two prime numbers (E) an even integer greater than 2 that cannot be written as the sum of two prime numbers",,数论,质因数与整除,质因数;整除,分解质因数并检查整除条件。,
2016,AMC 12,A,6,2016 AMC 12A Problem 6,"A triangular array of 2016 coins has 1 coin in the first row, 2 coins in the second row, 3 coins in the third row, and so on up to N coins in the N th row. What is the sum of the digits of N ? (A) 6 (B) 7 (C) 8 (D) 9 (E) 10",,概率与统计,组合概率,概率;计数,分别计数有利情况与总情况，再化为概率。,
2016,AMC 12,A,7,2016 AMC 12A Problem 7,Which of these describes the graph of x2(x + y + 1) = y2(x + y + 1) ? (A) two parallel lines (B) two intersecting lines (C) three lines that all pass through a common point (D) three lines that do not all pass through a common point (E) a line and a parabola,,几何,坐标几何,坐标;几何,建立坐标或使用距离、斜率、面积公式求解。,
2016,AMC 12,A,8,2016 AMC 12A Problem 8,What is the area of the shaded region of the given 8 × 5 rectangle? 1 7 1 4 4 1 7 1 3 1 1 (A) 4 (B) 5 (C) 5 (D) 6 (E) 8 5 4 2,,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2016,AMC 12,A,9,2016 AMC 12A Problem 9,"The five small shaded squares inside this unit square are congruent and have disjoint interiors. The midpoint of each side of the middle square coincides with one of the vertices of the other √ four small squares as shown. The common side length is a− 2 , where a and b are positive b integers. What is a + b ? (A) 7 (B) 8 (C) 9 (D) 10 (E) 11",,概率与统计,几何概率,几何概率;面积,将随机位置参数化，用面积或长度比例计算概率。,题面包含图形
2016,AMC 12,A,10,2016 AMC 12A Problem 10,"Five friends sat in a movie theater in a row containing 5 seats, numbered 1 to 5 from left to right. (The directions ”left” and ”right” are from the point of view of the people as they sit in the seats.) During the movie Ada went to the lobby to get some popcorn. When she returned, she found that Bea had moved two seats to the right, Ceci had moved one seat to the left, and Dee and Edie had switched seats, leaving an end seat for Ada. In which seat had Ada been sitting before she got up? (A) 1 (B) 2 (C) 3 (D) 4 (E) 5",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
