year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2018,AMC 8,,1,2018 AMC 8 Problem 1,"An amusement park has a collection of scale models, with ratio 1: 20, of buildings and other sights from around the country. The height of the United States Capitol is 289 feet. What is the height in feet of its replica to the nearest whole number? (A) 14 (B) 15 (C) 16 (D) 18 (E) 20",A,算术与数感,比例,比例;AMC 8,设共同份数或比例参数，将各数量写成同一参数的倍数。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,2,2018 AMC 8 Problem 2,What is the value of the product (1+(1)/(1))·(1+(1)/(2))·(1+(1)/(3))·(1+(1)/(4))·(1+(1)/(5))·(1+(1)/(6))? (A) (7)/(6) (B) (4)/(3) (C) (7)/(2) (D) 7 (E) 8,D,算术与数感,分数与小数,分数与小数;AMC 8,统一分数或小数表示后约分、比较或计算。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,3,2018 AMC 8 Problem 3,"Students Arn, Bob, Cyd, Dan, Eve, and Fon are arranged in that order in a circle. They start counting: Arn first, then Bob, and so forth. When the number contains a 7 as a digit (such as 47) or is a multiple of 7 that person leaves the circle and the counting continues. Who is the last one present in the circle? (A) Arn (B) Bob (C) Cyd (D) Dan (E) Eve",D,代数,模式规律,模式规律;圆;数字;排列,从重复或递推结构中确定周期和增长规律。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,4,2018 AMC 8 Problem 4,The twelve-sided figure shown has been drawn on 1 cm× 1 cm graph paper. What is the area of the figure in cm^2? [图形] (A) 12 (B) 12.5 (C) 13 (D) 13.5 (E) 14,C,几何与测量,面积,面积;图表,分割、补形或作差，将目标区域化为基本图形面积。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,5,2018 AMC 8 Problem 5,What is the value of 1+3+5+...+2017+2019-2-4-6-...-2016-2018? (A) -1010 (B) -1009 (C) 1008 (D) 1009 (E) 1010,E,算术与数感,四则运算,四则运算;AMC 8,按运算顺序化简数值表达式，并用选项回代核对。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,6,2018 AMC 8 Problem 6,"On a trip to the beach, Anh traveled 50 miles on the highway and 10 miles on a coastal access road. He drove three times as fast on the highway as on the coastal road. If Anh spent 30 minutes driving on the coastal road, how many minutes did his entire trip take? (A) 50 (B) 70 (C) 80 (D) 90 (E) 100",C,算术与数感,应用题,应用题;AMC 8,提取数量、速度、时间或费用关系并分步计算。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,7,2018 AMC 8 Problem 7,The 5 -digit number 2 0 1 8 U is divisible by 9. What is the remainder when this number is divided by 8? (A) 1 (B) 3 (C) 5 (D) 6 (E) 7,B,数论,余数,余数;数字,在适当模数下计算并利用余数周期。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,8,2018 AMC 8 Problem 8,"John Pork asked the members of his health class how many days last week they exercised for at least 30 minutes. The results are summarized in the following bar graph, where the heights of the bars represent the number of students. [图形] What was the mean number of days of exercise last week, rounded to the nearest hundredth, reported by the students in John Pork's class? (A) 3.50 (B) 3.57 (C) 4.36 (D) 4.50 (E) 5.00",C,概率与统计,图表与数据,图表与数据;图表,准确读取图表或数据结构，再计算所求统计量。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,9,2018 AMC 8 Problem 9,Tyler is tiling the floor of his 12 foot by 16 foot living room. He plans to place one-foot by one-foot square tiles to form a border along the edges of the room and to fill in the rest of the floor with two-foot by two-foot square tiles. How many tiles will he use? (A) 48 (B) 87 (C) 91 (D) 96 (E) 120,B,几何与测量,面积,面积;正方形,分割、补形或作差，将目标区域化为基本图形面积。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,10,2018 AMC 8 Problem 10,"The harmonic mean of a set of non-zero numbers is the reciprocal of the average of the reciprocals of the numbers. What is the harmonic mean of 1, 2, and 4? (A) (3)/(7) (B) (7)/(12) (C) (12)/(7) (D) (7)/(4) (E) (7)/(3)",C,概率与统计,平均数,平均数;AMC 8,利用总和等于平均数乘数据个数建立关系。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,11,2018 AMC 8 Problem 11,"Abby, Bridget, and four classmates are seated at random in two rows of three. What is the probability that Abby and Bridget are adjacent in the same row or the same column? [图形] (A) (1)/(3) (B) (2)/(5) (C) (7)/(15) (D) (1)/(2) (E) (2)/(3)",C,概率与统计,概率,概率;AMC 8,确定等可能样本空间，计数有利结果并求比值。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,12,2018 AMC 8 Problem 12,"The clock in Sri's car, which is not accurate, gains time at a constant rate. One day as he begins shopping, he notes that his car clock and his watch (which is accurate) both say 12:00 noon. When he is done shopping, his watch says 12:30 and his car clock says 12:35. Later that day, Sri loses his watch. He looks at his car clock and it says 7:00. What is the actual time? (A) 5:50 (B) 6:00 (C) 6:30 (D) 6:55 (E) 8:10",B,算术与数感,比例,比例;AMC 8,设共同份数或比例参数，将各数量写成同一参数的倍数。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,13,2018 AMC 8 Problem 13,"Laila took five math tests, each worth a maximum of 100 points. Laila's score on each test was an integer between 0 and 100, inclusive. Laila received the same score on the first four tests, and she received a higher score on the last test. Her average score on the five tests was 82. How many values are possible for Laila's score on the last test? (A) 4 (B) 5 (C) 9 (D) 10 (E) 18",A,概率与统计,平均数,平均数;AMC 8,利用总和等于平均数乘数据个数建立关系。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2018,AMC 8,,14,2018 AMC 8 Problem 14,Let N be the greatest five-digit number whose digits have a product of 120. What is the sum of the digits of N? (A) 15 (B) 16 (C) 17 (D) 18 (E) 20,D,数论,数字问题,数字问题;数字,按位值、数字和或末位条件分析整数。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
