year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2019,AMC 8,,1,2019 AMC 8 Problem 1,"Ike and Mike go into a sandwich shop with a total of 30.00 to spend. Sandwiches cost 4.50 each and soft drinks cost 1.00 each. Ike and Mike plan to buy as many sandwiches as they can, and use any remaining money to buy soft drinks. Counting both sandwiches and soft drinks, how many items will they buy? (A) 6 (B) 7 (C) 8 (D) 9 (E) 10",D,算术与数感,应用题,应用题;AMC 8,提取数量、速度、时间或费用关系并分步计算。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2019,AMC 8,,2,2019 AMC 8 Problem 2,"Three identical rectangles are put together to form rectangle ABCD, as shown in the figure below. Given that the length of the shorter side of each of the rectangles is 5 feet, what is the area in square feet of rectangle ABCD? [图形] (A) 45 (B) 75 (C) 100 (D) 125 (E) 150",E,几何与测量,面积,面积;正方形;矩形,分割、补形或作差，将目标区域化为基本图形面积。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2019,AMC 8,,3,2019 AMC 8 Problem 3,"Which of the following is the correct order of the fractions (15)/(11),(19)/(15), and (17)/(13), from least to greatest? (A) (15)/(11)< (17)/(13)< (19)/(15) (B) (15)/(11)< (19)/(15)<(17)/(13) (C) (17)/(13)<(19)/(15)<(15)/(11) (D) (19)/(15)<(15)/(11)<(17)/(13) (E) (19)/(15)<(17)/(13)<(15)/(11)",E,算术与数感,分数与小数,分数与小数;AMC 8,统一分数或小数表示后约分、比较或计算。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2019,AMC 8,,4,2019 AMC 8 Problem 4,Quadrilateral ABCD is a rhombus with perimeter 52 meters. The length of diagonal AC is 24 meters. What is the area in square meters of rhombus ABCD? [图形] (A) 60 (B) 90 (C) 105 (D) 120 (E) 144,D,几何与测量,四边形,四边形;正方形;面积,利用特殊四边形的边、对角线和面积性质。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2019,AMC 8,,5,2019 AMC 8 Problem 5,"A tortoise challenges a hare to a race. The hare eagerly agrees and quickly runs ahead, leaving the slow-moving tortoise behind, believing that he will win, the hare stops to take a nap. Meanwhile, the tortoise walks at a slow, steady pace for the entire race. The hare wakes up and runs to the finish line, only to find the tortoise already there. Which of the following graphs matches the description of the race, showing the distance d traveled by the two animals over time t from start to finish? (A) 图形选项 A (B) 图形选项 B (C) 图形选项 C (D) 图形选项 D (E) 图形选项 E",B,概率与统计,图表与数据,图表与数据;图表,准确读取图表或数据结构，再计算所求统计量。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；A-E 为图形选项；文本保留选项标签，具体图形见原题 PDF 或 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2019,AMC 8,,6,2019 AMC 8 Problem 6,"There are 81 grid points (uniformly spaced) in the square shown in the diagram below, including the points on the edges. Point P is in the center of the square. Given that point Q is randomly chosen among the other 80 points, what is the probability that the line PQ is a line of symmetry for the square? [图形] (A) (1)/(5) (B) (1)/(4) (C) (2)/(5) (D) (9)/(20) (E) (1)/(2)",C,概率与统计,概率,概率;正方形;网格,确定等可能样本空间，计数有利结果并求比值。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2019,AMC 8,,7,2019 AMC 8 Problem 7,"Shauna takes five tests, each worth a maximum of 100 points. Her scores on the first three tests are 76, 94, and 87. In order to average 81 for all five tests, what is the lowest score she could earn on one of the other two tests? (A) 48 (B) 52 (C) 66 (D) 70 (E) 74",A,概率与统计,平均数,平均数;AMC 8,利用总和等于平均数乘数据个数建立关系。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2019,AMC 8,,8,2019 AMC 8 Problem 8,"Gilda has a bag of marbles. She gives 20% of them to her friend Pedro. Then Gilda gives 10% of what is left to another friend, Ebony. Finally, Gilda gives 25% of what is now left in the bag to her brother Jimmy. What percentage of her original bag of marbles does Gilda have left for herself? (A) 20 (B) 33(1)/(3) (C) 38 (D) 45 (E) 54",E,算术与数感,百分比,百分比;AMC 8,把百分比转成乘法关系，追踪基准量的变化。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2019,AMC 8,,9,2019 AMC 8 Problem 9,Alex and Felicia each have cats as pets. Alex buys cat food in cylindrical cans that are 6 cm in diameter and 12 cm high. Felicia buys cat food in cylindrical cans that are 12 cm in diameter and 6 cm high. What is the ratio of the volume of one of Alex's cans to the volume one of Felicia's cans? (A) 1:4 (B) 1:2 (C) 1:1 (D) 2:1 (E) 4:1,B,几何与测量,体积,体积;比例,确定底面积和高，或比较相似立体的体积。,题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
2019,AMC 8,,10,2019 AMC 8 Problem 10,"The diagram shows the number of students at soccer practice each weekday during last week. After computing the mean and median values, Coach discovers that there were actually 21 participants on Wednesday. Which of the following statements describes the change in the mean and median after the correction is made? [图形] (A) The mean increases by 1 and the median does not change (B) The mean increases by 1 and the median increases by 1 (C) The mean increases by 1 and the median increases by 5 (D) The mean increases by 5 and the median increases by 1 (E) The mean increases by 5 and the median increases by 5",B,概率与统计,图表与数据,图表与数据;中位数,准确读取图表或数据结构，再计算所求统计量。,题面包含图形；纯文本以 [图形] 标记图形位置；图形细节已对照原题 PDF 与 AoPS 题页；题面与选项按 AoPS Wiki 同年 Problems 页面核验；答案按对应 Answer Key 核验
