year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2004,AMC 12,A,1,2004 AMC 12A Problem 1,"Alicia earns $20 per hour, of which 1.45% is deducted to pay local taxes. How many cents per hour of Alicia’s wages are used to pay local taxes? (A) 0.0029 (B) 0.029 (C) 0.29 (D) 2.9 (E) 29",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2004,AMC 12,A,2,2004 AMC 12A Problem 2,"On the AMC 12, each correct answer is worth 6 points, each incorrect answer is worth 0 points, and each problem left unanswered is worth 2.5 points. If Charlyn leaves 8 of the 25 problems unanswered, how many of the remaining problems must she answer correctly in order to score at least 100? (A) 11 (B) 13 (C) 14 (D) 16 (E) 17",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2004,AMC 12,A,3,2004 AMC 12A Problem 3,"For how many ordered pairs of positive integers (x, y) is x + 2y = 100? (A) 33 (B) 49 (C) 50 (D) 99 (E) 100",,数论,整数构造,整数;构造,用整数范围、构造和极值条件筛选可能值。,
2004,AMC 12,A,4,2004 AMC 12A Problem 4,"Bertha has 6 daughters and no sons. Some of her daughters have 6 daughters, and the rest have none. Bertha has a total of 30 daughters and granddaughters, and no great-granddaughters. How many of Bertha’s daughters and grand-daughters have no children? (A) 22 (B) 23 (C) 24 (D) 25 (E) 26",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2004,AMC 12,A,5,2004 AMC 12A Problem 5,The graph of the line y = mx + b is shown. Which of the following is true? 2 1 1 1 2 − 1 − 2 − (A) mb < −1 (B) − 1 < mb < 0 (C) mb = 0 (D) 0 < mb < 1 (E) mb > 1,,代数,函数与图像,函数;图像,分析函数图像、对称、交点或极值条件。,题面包含图形；自动分类依据较弱，按代数主线暂归类
2004,AMC 12,A,6,2004 AMC 12A Problem 6,"Let U = 2 × 20042005, V = 20042005, W = 2003 × 20042004, X = 2 × 20042004, Y = 20042004 and Z = 20042003. Which of the following is the largest? (A) U − V (B) V − W (C) W − X (D) X − Y (E) Y − Z",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2004,AMC 12,A,7,2004 AMC 12A Problem 7,"A game is played with tokens according to the following rules. In each round, the player with the most tokens gives one token to each of the other players and also places one token into a discard pile. The game ends when some player runs out of tokens. Players A, B, and C start with 15, 14, and 13 tokens, respectively. How many rounds will there be in the game? (A) 36 (B) 37 (C) 38 (D) 39 (E) 40",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2004,AMC 12,A,8,2004 AMC 12A Problem 8,"In the overlapping triangles △ABC and △ABE sharing common side AB, ∠EAB and ∠ABC are right angles, AB = 4, BC = 6, AE = 8, and AC and BE intersect at D. What is the difference between the areas of △ADE and △BDC? E C",,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2004,AMC 12,A,9,2004 AMC 12A Problem 9,"A company sells peanut butter in cylindrical jars. Marketing research suggests that using wider jars would increase sales. If the diameter of the jars is increased by 25% without altering the volume, by what percent must the height be decreased? (A) 10% (B) 25% (C) 36% (D) 50% (E) 60%",,几何,圆与曲线,圆;曲线,利用圆、切线、曲线方程或几何约束求关键量。,
2004,AMC 12,A,10,2004 AMC 12A Problem 10,The sum of 49 consecutive integers is 75. What is their median? (A) 7 (B) 72 (C) 73 (D) 74 (E) 75,,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,
2004,AMC 12,A,11,2004 AMC 12A Problem 11,"The average value of all the pennies, nickels, dimes, and quarters in Paula’s purse is 20 cents. If she had one more quarter, the average value would be 21 cents. How many dimes does she have in her purse? (A) 0 (B) 1 (C) 2 (D) 3 (E) 4",,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,
2004,AMC 12,A,12,2004 AMC 12A Problem 12,"Let A = (0, 9) and B = (0, 12). Points A′ and B′ are on the line y = x, and AA′ and BB′ intersect at C = (2, 8). What is the length of A′B′? √ √ √ (A) 2 (B) 2 2 (C) 3 (D) 2 + 2 (E) 3 2",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2004,AMC 12,A,13,2004 AMC 12A Problem 13,"Let S be the set of points (a, b) in the coordinate plane, where each of a and b may be −1, 0, or 1. How many distinct lines pass through at least two members of S? (A) 8 (B) 20 (C) 24 (D) 27 (E) 36",,几何,坐标几何,坐标;几何,建立坐标或使用距离、斜率、面积公式求解。,
2004,AMC 12,A,14,2004 AMC 12A Problem 14,"A sequence of three real numbers forms an arithmetic progression with a first term of 9. If 2 is added to the second term and 20 is added to the third term, the three resulting numbers form a geometric progression. What is the smallest possible value for the third term in the geometric progression? (A) 1 (B) 4 (C) 36 (D) 49 (E) 81",,代数,数列与递推,数列;递推,从递推式或数列结构中找显式式、周期或求和规律。,
2004,AMC 12,A,15,2004 AMC 12A Problem 15,"Brenda and Sally run in opposite directions on a circular track, starting at diametrically opposite points. They first meet after Brenda has run 100 meters. They next meet after Sally has run 150 meters past their first meeting point. Each girl runs at a constant speed. What is the length of the track in meters? (A) 250 (B) 300 (C) 350 (D) 400 (E) 500",,代数,三角恒等式,三角函数;恒等式,用三角恒等式、角度关系或特殊角化简。,
2004,AMC 12,A,16,2004 AMC 12A Problem 16,The set of all real numbers x for which log (log (log (log x))) 2004 2003 2002 2001 is defined is {x|x > c}. What is the value of c? (A) 0 (B) 20012002 (C) 20022003 (D) 20032004 (E) 200120022003,,代数,对数与指数,对数;指数,使用换底、指数规律或对数恒等式化简。,
2004,AMC 12,A,17,2004 AMC 12A Problem 17,"Let f be a function with the following properties: (i) f (1) = 1, and (ii) f (2n) = n × f (n), for any positive integer n. What is the value of f (2100)? (A) 1 (B) 299 (C) 2100 (D) 24950 (E) 29999",,数论,整数构造,整数;构造,用整数范围、构造和极值条件筛选可能值。,
