year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2022,AMC 12,A,1,2022 AMC 12A Problem 1,What is the value of 1 3 + ? 3 + 1 3+ 1 3 (A) 31 (B) 49 (C) 33 (D) 109 (E) 15 10 15 10 33 4,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2022,AMC 12,A,2,2022 AMC 12A Problem 2,"The sum of three numbers is 96. The first number is 6 times the third number, and the third number is 40 less than the second number. What is the absolute value of the difference between the first and second numbers? (A) 1 (B) 2 (C) 3 (D) 4 (E) 5",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2022,AMC 12,A,3,2022 AMC 12A Problem 3,"Five rectangles, A, B, C, D, and E, are arranged in a square as shown below. These rectangles have dimensions 1 × 6, 2 × 4, 5 × 6, 2 × 7, and 2 × 3, respectively. (The figure is not drawn to scale.) Which of the five rectangles is the shaded one in the middle? (A) A (B) B (C) C (D) D (E) E",,组合数学,排列组合,排列组合;计数,用分组、排列组合或容斥完成计数。,题面包含图形
2022,AMC 12,A,4,2022 AMC 12A Problem 4,"The least common multiple of a positive integer n and 18 is 180, and the greatest common divisor of n and 45 is 15. What is the sum of the digits of n? (A) 3 (B) 6 (C) 8 (D) 9 (E) 12",,数论,进制与数字,数字;进制,分析数字、位值或进制表示带来的整数约束。,
2022,AMC 12,A,5,2022 AMC 12A Problem 5,"Let the taxicab distance between points (x , y ) and (x , y ) in the coordinate plane is given by 1 1 2 2 |x − x | + |y − y |. For how many points P with integer coordinates is the taxicab distance 1 2 1 2 between P and the origin less than or equal to 20? (A) 441 (B) 761 (C) 841 (D) 921 (E) 924",,几何,坐标几何,坐标;几何,建立坐标或使用距离、斜率、面积公式求解。,
2022,AMC 12,A,6,2022 AMC 12A Problem 6,"A data set consists of 6 (not distinct) positive integers: 1, 7, 5, 2, 5, and X. The average (arithmetic mean) of the 6 numbers equals a value in the data set. What is the sum of all positive values of X? (A) 10 (B) 26 (C) 32 (D) 36 (E) 40",,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,
2022,AMC 12,A,7,2022 AMC 12A Problem 7,"A rectangle is partitioned into 5 regions as shown. Each region is to be painted a solid color - red, orange, yellow, blue, or green - so that regions that touch are painted different colors, and colors can be used more than once. How many different colorings are possible? (A) 120 (B) 270 (C) 360 (D) 540 (E) 720",,组合数学,染色与构造,染色;构造,按颜色/类型分类，使用构造、对称或计数。,题面包含图形
2022,AMC 12,A,8,2022 AMC 12A Problem 8,The infinite product (cid:114) √ (cid:113)√ (cid:113)√ 3 10 · 3 3 10 · 3 3 3 10 . . . evaluates to a real number. What is that number? √ √ √ √ (A) 10 (B) 3 100 (C) 4 1000 (D) 10 (E) 10 3 10,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2022,AMC 12,A,9,2022 AMC 12A Problem 9,"On Halloween 31 children walked into the principal’s office asking for candy. They can be clas- sified into three types: Some always lie; some always tell the truth; and some alternately lie and tell the truth. The alternaters arbitrarily choose their first response, either a lie or the truth, but each subsequent statement has the opposite truth value from its predecessor. The principal asked everyone the same three questions in this order. ”Are you a truth-teller?” The principal gave a piece of candy to each of the 22 children who answered yes. ”Are you an alternater?” The principal gave a piece of candy to each of the 15 children who answered yes. ”Are you a liar?” The principal gave a piece of candy to each of the 9 children who answered yes. How many pieces of candy in all did the principal give to the children who always tell the truth? (A) 7 (B) 12 (C) 21 (D) 27 (E) 31",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2022,AMC 12,A,10,2022 AMC 12A Problem 10,"What is the number of ways the numbers from 1 to 14 can be split into 7 pairs such that for each pair, the greater number is at least 2 times the smaller number? (A) 108 (B) 120 (C) 126 (D) 132 (E) 144",,组合数学,排列组合,排列组合;计数,用分组、排列组合或容斥完成计数。,
2022,AMC 12,A,11,2022 AMC 12A Problem 11,What is the product of all real numbers x such that the distance on the number line between log x and log 9 is twice the distance on the number line between log 10 and 1? 6 6 6 (A) 10 (B) 18 (C) 25 (D) 36 (E) 81,,代数,对数与指数,对数;指数,使用换底、指数规律或对数恒等式化简。,
2022,AMC 12,A,12,2022 AMC 12A Problem 12,Let M be the midpoint of AB in regular tetrahedron ABCD. What is cos(∠CM D)? √ (A) 1 (B) 1 (C) 2 (D) 1 (E) 3 4 3 5 2 2,,几何,空间几何,空间几何;体积,用截面、相似、体积或空间距离关系建模。,
2022,AMC 12,A,13,2022 AMC 12A Problem 13,"Let R be the region in the complex plane consisting of all complex numbers z that can be written as the sum of complex numbers z and z , where z lies on the segment with endpoints 3 and 1 2 1 4i, and z has magnitude at most 1. What integer is closest to the area of R? 2 (A) 13 (B) 14 (C) 15 (D) 16 (E) 17",,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2022,AMC 12,A,14,2022 AMC 12A Problem 14,What is the value of (log 5)3 + (log 20)3 + (log 8)(log 0.25) where log denotes the base-ten logarithm? 3 7 9 (A) (B) (C) 2 (D) (E) 3 2 4 4,,数论,进制与数字,数字;进制,分析数字、位值或进制表示带来的整数约束。,
2022,AMC 12,A,15,2022 AMC 12A Problem 15,"The roots of the polynomial 10x3−39x2+29x−6 are the height, length, and width of a rectangular box (right rectangular prism. A new rectangular box is formed by lengthening each edge of the original box by 2 units. What is the volume of the new box? (A) 24 (B) 42 (C) 81 (D) 30 (E) 48 5 5 5",,代数,三角恒等式,三角函数;恒等式,用三角恒等式、角度关系或特殊角化简。,
2022,AMC 12,A,16,2022 AMC 12A Problem 16,"A triangular number is a positive integer that can be expressed in the form t = 1+2+3+· · ·+n, n for some positive integer n. The three smallest triangular numbers that are also perfect squares are t = 1 = 12, t = 36 = 62, and t = 1225 = 352. What is the sum of the digits of the fourth 1 8 49 smallest triangular number that is also a perfect square? (A) 6 (B) 9 (C) 12 (D) 18 (E) 27",,几何,三角形,三角形;角度,运用三角形边角关系、三角函数或面积公式。,
2022,AMC 12,A,17,2022 AMC 12A Problem 17,"Suppose a is a real number such that the equation a · (sin x + sin(2x)) = sin(3x) has more than one solution in the interval (0, π). The set of all such a can be written in the form (p, q) ∪ (q, r), where p, q, and r are real numbers with p < q < r. What is p + q + r? (A) − 4 (B) − 1 (C) 0 (D) 1 (E) 4",,代数,三角恒等式,三角函数;恒等式,用三角恒等式、角度关系或特殊角化简。,
2022,AMC 12,A,18,2022 AMC 12A Problem 18,"Let T be the transformation of the coordinate plane that first rotates the plane k degrees k counterclockwise around the origin and then reflects the plane across the y-axis. What is the least positive integer n such that performing the sequence of transformations transformations T , T , T , . . . , T returns the point (1, 0) back to itself? 1 2 3 n (A) 359 (B) 360 (C) 719 (D) 720 (E) 721",,几何,坐标几何,坐标;几何,建立坐标或使用距离、斜率、面积公式求解。,
2022,AMC 12,A,19,2022 AMC 12A Problem 19,"Suppose that 13 cards numbered 1, 2, 3, . . . , 13 are arranged in a row. The task is to pick them up in numerically increasing order, working repeatedly from left to right. In the example below, cards 1, 2, 3 are picked up on the first pass, 4 and 5 on the second pass, 6 on the third pass, 7, 8, 9, 10 on the fourth pass, and 11, 12, 13 on the fifth pass. For how many of the 13! possible orderings of the cards will the 13 cards be picked up in exactly two passes? 7 11 8 6 4 5 9 12 1 13 10 2 3 (A) 4082 (B) 4095 (C) 4096 (D) 8178 (E) 8191",,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,题面包含图形
2022,AMC 12,A,20,2022 AMC 12A Problem 20,"Isosceles trapezoid ABCD has parallel sides AD and BC, with BC < AD and AB = CD. There is a point P in the plane such that P A = 1, P B = 2, P C = 3, and P D = 4. What is BC ? AD (A) 1 (B) 1 (C) 1 (D) 2 (E) 3 4 3 2 3 4",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2022,AMC 12,A,21,2022 AMC 12A Problem 21,Let P (x) = x2022 + x1011 + 1. Which of the following polynomials divides P (x)? (A) x2 − x + 1 (B) x2 + x + 1 (C) x4 + 1 (D) x6 − x3 + 1 (E) x6 + x3 + 1,,代数,多项式与根,多项式;根,结合韦达定理、整数根或多项式结构求解。,
