year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2012,AMC 10,A,1,2012 AMC 10A Problem 1,"Cagney can frost a cupcake every 20 seconds and Lacey can frost a cupcake every 30 seconds. Working together, how many cupcakes can they frost in 5 minutes? (A) 10 (B) 15 (C) 20 (D) 25 (E) 30",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2012,AMC 10,A,2,2012 AMC 10A Problem 2,"A square with side length 8 is cut in half, creating two congruent rectangles. What are the di- mensions of one of these rectangles? (A) 2 by 4 (B) 2 by 6 (C) 2 by 8 (D) 4 by 4 (E) 4 by 8",,几何,三角形,三角形;角度,运用三角形边角关系、三角函数或面积公式。,
2012,AMC 10,A,3,2012 AMC 10A Problem 3,"A bug crawls along a number line, starting at −2. It crawls to −6, then turns around and crawls to 5. How many units does the bug crawl altogether? (A) 9 (B) 11 (C) 13 (D) 14 (E) 15",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2012,AMC 10,A,4,2012 AMC 10A Problem 4,Let ∠ABC = 24◦ and ∠ABD = 20◦. What is the smallest possible degree measure for ∠CBD? (A) 0 (B) 2 (C) 4 (D) 6 (E) 12,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2012,AMC 10,A,5,2012 AMC 10A Problem 5,"Last year 100 adult cats, half of whom were female, were brought into the Smallville Animal Shel- ter. Half of the adult female cats were accompanied by a litter of kittens. The average number of kittens per litter was 4. What was the total number of cats and kittens received by the shelter last year? (A) 150 (B) 200 (C) 250 (D) 300 (E) 400",,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,
2012,AMC 10,A,6,2012 AMC 10A Problem 6,The product of two positive numbers is 9. The reciprocal of one of these numbers is 4 times the reciprocal of the other number. What is the sum of the two numbers? 10 20 15 (A) (B) (C) 7 (D) (E) 8 3 3 2,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2012,AMC 10,A,7,2012 AMC 10A Problem 7,"In a bag of marbles, 3 of the marbles are blue and the rest are red. If the number of red marbles 5 is doubled and the number of blue marbles stays the same, what fraction of the marbles will be red? 2 3 4 3 4 (A) (B) (C) (D) (E) 5 7 7 5 5",,概率与统计,组合概率,概率;计数,分别计数有利情况与总情况，再化为概率。,
2012,AMC 10,A,8,2012 AMC 10A Problem 8,"The sums of three whole numbers taken in pairs are 12, 17, and 19. What is the middle number? (A) 4 (B) 5 (C) 6 (D) 7 (E) 8",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2012,AMC 10,A,9,2012 AMC 10A Problem 9,"A pair of six-sided fair dice are labeled so that one die has only even numbers (two each of 2, 4, and 6), and the other die has only odd numbers (two each of 1, 3, and 5). The pair of dice is rolled. What is the probability that the sum of the numbers on top of the two dice is 7? 1 1 1 1 1 (A) (B) (C) (D) (E) 6 5 4 3 2",,概率与统计,组合概率,概率;计数,分别计数有利情况与总情况，再化为概率。,
2012,AMC 10,A,10,2012 AMC 10A Problem 10,"Mary divides a circle into 12 sectors. The central angles of these sectors, measured in degrees, are all integers and they form an arithmetic sequence. What is the degree measure of the small- est possible sector angle? (A) 5 (B) 6 (C) 8 (D) 10 (E) 12",,几何,圆与曲线,圆;曲线,利用圆、切线、曲线方程或几何约束求关键量。,
