year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2024,AMC 12,A,1,2024 AMC 12A Problem 1,What is the value of 9901 * 101 - 99 * 10101?,,代数,运算与化简,整数运算;因式分解;算术,利用乘法分配律和配对化简，避免直接大数计算。,
2024,AMC 12,A,2,2024 AMC 12A Problem 2,"A hiking-time model has the form T = aL + bG. It gives 69 minutes for trails (L,G) = (1.5,800) and (1.2,1100). How many minutes does it estimate for (4.2,4000)?",,代数,线性模型,线性方程组;建模;比例,由两组条件建立线性关系，再求目标线性组合。,
2024,AMC 12,A,3,2024 AMC 12A Problem 3,The number 2024 is written as the sum of not necessarily distinct two-digit numbers. What is the least number of two-digit numbers needed?,,数论,整数构造,两位数;最值;整数拆分,每个两位数最大为 99，用上界估计并检查可达性。,
2024,AMC 12,A,4,2024 AMC 12A Problem 4,What is the least value of n such that n! is a multiple of 2024?,,数论,质因数分解,阶乘;质因数;整除,分解 2024 并找出 n! 中首次包含所有所需质因数的位置。,
2024,AMC 12,A,5,2024 AMC 12A Problem 5,"A data set containing 20 numbers, some of which are 6, has mean 45. When all the 6s are removed, the data set has mean 66. How many 6s were in the original data set?",,概率与统计,平均数与数据集,平均数;总和;数据删除,用删除前后的总和建立关于 6 的个数的方程。,
2024,AMC 12,A,6,2024 AMC 12A Problem 6,The product of three integers is 60. What is the least possible positive sum of the three integers?,,数论,整数构造,整数因子;最值;符号,枚举因子组合并考虑负因子的配对，使总和为正且尽量小。,
2024,AMC 12,A,7,2024 AMC 12A Problem 7,"In right isosceles triangle ABC with angle ABC = 90 degrees and BA = BC = sqrt(2), points P1 through P2024 divide hypotenuse AC into equal parts. What is the length of vector sum BP1 + BP2 + ... + BP2024?",,几何,向量几何,向量和;中点;等分点;直角三角形,等分点的向量和等于点数乘以平均位置，再转化为从 B 到中点的向量。,
2024,AMC 12,A,8,2024 AMC 12A Problem 8,How many angles theta with 0 <= theta <= 2pi satisfy log(sin(3theta)) + log(cos(2theta)) = 0?,,代数,三角恒等式,对数;三角函数;定义域;方程,先处理对数定义域，再把方程化为 sin(3theta) cos(2theta) = 1。,
2024,AMC 12,A,9,2024 AMC 12A Problem 9,Let M be the greatest integer such that both M + 1213 and M + 3773 are perfect squares. What is the units digit of M?,,数论,平方数,平方差;最大整数;个位数,两平方数相差 2560，利用平方差分解并选择使 M 最大的因子对。,
2024,AMC 12,A,10,2024 AMC 12A Problem 10,"Let alpha be the smallest angle in a 3-4-5 right triangle and beta the smallest angle in a 7-24-25 right triangle. In terms of alpha, what is beta?",,几何,三角形,直角三角形;三角函数;倍角,比较两组勾股三角形的正切值，并用倍角关系表达角度。,
2024,AMC 12,A,11,2024 AMC 12A Problem 11,There are exactly K positive integers b with 5 <= b <= 2024 such that the base-b integer 2024_b is divisible by 16. What is the sum of the digits of K?,,数论,进制,进制表示;同余;计数,把 2024_b 转成关于 b 的多项式，再在模 16 下计数。,
2024,AMC 12,A,12,2024 AMC 12A Problem 12,"The first three terms of a geometric sequence are integers a, 720, and b, where a < 720 < b. What is the sum of the digits of the least possible value of b?",,代数,数列与递推,等比数列;整数;最小值,利用 720^2 = ab，寻找大于 720 的最小整数 b 使 a 也为整数。,
2024,AMC 12,A,13,2024 AMC 12A Problem 13,"The graph of y = e^(x+1) + e^(-x) - 2 has an axis of symmetry. What is the reflection of the point (-1, 1/2) over this axis?",,代数,函数与图像,指数函数;对称轴;点的反射,通过指数项配对找出竖直对称轴，再对点做水平反射。,
2024,AMC 12,A,14,2024 AMC 12A Problem 14,"Rows and columns of a 5 by 5 integer array are arithmetic progressions. Given entries (5,5)=0, (2,4)=48, (4,3)=16, and (3,1)=12, what is in position (1,2)?",,代数,线性模型,等差数列;二维线性;表格,行列均为等差数列意味着数组可写成双线性形式，代入已知位置求目标。,题面包含 5x5 表格，HTML 中以文字说明保留。
2024,AMC 12,A,15,2024 AMC 12A Problem 15,"The roots of x^3 + 2x^2 - x + 3 are p, q, and r. What is (p^2+4)(q^2+4)(r^2+4)?",,代数,多项式与根,韦达定理;多项式;复数代入,把乘积看作在相关虚数点处的多项式值，或用对称多项式处理。,
2024,AMC 12,A,16,2024 AMC 12A Problem 16,"A set of 12 tokens - 3 red, 2 white, 1 blue, and 6 black - is distributed randomly to 3 players, 4 tokens per player. Find m+n if the probability that one player gets all red tokens, another all white tokens, and the remaining player the blue token is m/n.",,概率与统计,组合概率,分配;超几何;条件计数,分别计数满足颜色集中条件的分配数和总分配数。,
2024,AMC 12,A,17,2024 AMC 12A Problem 17,"Integers a, b, and c satisfy ab+c = 100, bc+a = 87, and ca+b = 60. What is ab+bc+ca?",,代数,方程与不等式,整数方程组;对称结构;代换,"利用三式结构消元，转向关于 ab,bc,ca 或 a,b,c 的整数约束。",
2024,AMC 12,A,18,2024 AMC 12A Problem 18,Identical rectangular cards with sides 1 and 2+sqrt(3) are placed successively so that diagonals line up after clockwise rotations. How many cards are needed until a vertex of a new card lands on vertex B?,,几何,几何变换,旋转;矩形;角度;周期,由矩形长宽比确定对角线角度，追踪每次旋转的角度周期。,题面包含卡片叠放图。
2024,AMC 12,A,19,2024 AMC 12A Problem 19,Cyclic quadrilateral ABCD has BC = CD = 3 and DA = 5 with angle CDA = 120 degrees. What is the length of the shorter diagonal?,,几何,圆与四边形,圆内接四边形;余弦定理;对角线,先在三角形 CDA 中求对角线，再利用同弧或圆内接关系处理另一条对角线。,
2024,AMC 12,A,20,2024 AMC 12A Problem 20,Points P and Q are chosen uniformly and independently on sides AB and AC of equilateral triangle ABC. Which interval contains the probability that area(APQ) is less than half area(ABC)?,,概率与统计,几何概率,几何概率;面积比例;单位正方形,把两个位置参数化为独立变量，面积条件转化为乘积不等式。,
2024,AMC 12,A,21,2024 AMC 12A Problem 21,Suppose a1 = 2 and sequence a_n satisfies (a_n - 1)/(n - 1) = (a_{n-1}+1)/n for n >= 2. What is floor(sum_{n=1}^{100} a_n^2)?,,代数,数列与递推,递推;望远镜;平方和,重写递推寻找显式表达式，再估计或精确求平方和的整数部分。,
2024,AMC 12,A,22,2024 AMC 12A Problem 22,"On an 8 by 3 dotted grid of 1-inch squares, toothpicks are placed along grid edges to create a closed non-self-intersecting loop. Each middle-row cell is labeled 1, meaning exactly one side is covered; other cells are unrestricted. How many loops are possible?",,组合数学,图形计数,网格路径;闭合回路;状态计数,按列或状态转移计数满足每个标号格边数限制的简单闭合回路。,题面包含 8x3 网格图。
