year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2024,AMC 8,,1,2024 AMC 8 Problem 1,"What is the ones digit of 222,222 - 22,222 - 2,222 - 222 - 22 - 2? (A) 0 (B) 2 (C) 4 (D) 6 (E) 8",B,数论,数字问题,个位数;位值,只追踪各项的个位数并在模 10 下计算。,
2024,AMC 8,,2,2024 AMC 8 Problem 2,What is the value of 44/11 + 110/44 + 44/1100 in decimal form? (A) 6.4 (B) 6.504 (C) 6.54 (D) 6.9 (E) 6.94,C,算术与数感,分数与小数,分数;小数;化简,先约分各分数，再统一用小数相加。,
2024,AMC 8,,3,2024 AMC 8 Problem 3,"Four squares of side length 4, 7, 9, and 10 are arranged in increasing size order so that their left and bottom edges align. They alternate white-gray-white-gray. What is the visible gray area? (A) 42 (B) 45 (C) 49 (D) 50 (E) 52",E,几何与测量,面积,正方形;重叠面积,把可见灰色区域写成两个正方形面积差之和。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,4,2024 AMC 8 Problem 4,Yunji added the integers from 1 to 9 but left out one number. Her incorrect sum was a square. Which number was omitted? (A) 5 (B) 6 (C) 7 (D) 8 (E) 9,E,数论,数字问题,平方数;整数和,先求 1 到 9 的总和，再检查与相邻平方数的差。,
2024,AMC 8,,5,2024 AMC 8 Problem 5,Aaliyah rolls two standard six-sided dice. Their product is a multiple of 6. Which integer cannot be their sum? (A) 5 (B) 6 (C) 7 (D) 8 (E) 9,B,数论,整除,骰子;整除;枚举,按乘积同时含因子 2 和 3 的条件枚举可行点数对。,
2024,AMC 8,,6,2024 AMC 8 Problem 6,"Four skating paths P, Q, R, and S are shown. What is their order from shortest to longest? (A) P, Q, R, S (B) P, R, S, Q (C) Q, S, P, R (D) R, P, S, Q (E) R, S, P, Q",D,几何与测量,周长与长度,路径;弧长;比较,把每条路径分解为可直接比较的线段或圆弧。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,7,2024 AMC 8 Problem 7,"A 3-by-7 rectangle is tiled without overlap using 2-by-2, 1-by-4, and 1-by-1 tiles. What is the minimum possible number of 1-by-1 tiles? (A) 1 (B) 2 (C) 3 (D) 4 (E) 5",E,组合数学,构造,铺砖;奇偶性;构造,先用面积和行列限制给出下界，再展示达到下界的铺法。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,8,2024 AMC 8 Problem 8,On Monday Taye has $2. Each day he either gains $3 or doubles the previous amount. How many different amounts could he have on Thursday? (A) 3 (B) 4 (C) 5 (D) 6 (E) 7,D,代数,模式规律,状态枚举;重复值,逐日列出可达金额并合并重复结果。,
2024,AMC 8,,9,2024 AMC 8 Problem 9,"Maria's marbles are red, green, or blue. She has half as many red as green and twice as many blue as green. Which could be the total number of marbles? (A) 24 (B) 25 (C) 26 (D) 27 (E) 28",E,算术与数感,比例,比例;整数约束,把三种数量写成同一整数参数的倍数。,
2024,AMC 8,,10,2024 AMC 8 Problem 10,"Carbon dioxide was 338 ppm in January 1980 and increases about 1.515 ppm per year. What is the expected January 2030 level, rounded to the nearest integer? (A) 399 (B) 414 (C) 420 (D) 444 (E) 459",B,代数,函数初步,线性增长;估算,用初值加上年数乘年增长率建立线性模型。,
2024,AMC 8,,11,2024 AMC 8 Problem 11,"Triangle ABC has A(5,7), B(11,7), and C(3,y), where y > 7. Its area is 12. What is y? (A) 8 (B) 9 (C) 10 (D) 11 (E) 12",D,几何与测量,坐标,坐标;三角形面积,把 AB 作为水平底边，由面积求点 C 到底边的高。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,12,2024 AMC 8 Problem 12,"Rohan has 90 guppies in four tanks. Tank 2 has 1 more than tank 1, tank 3 has 2 more than tank 2, and tank 4 has 3 more than tank 3. How many are in tank 4? (A) 20 (B) 21 (C) 23 (D) 24 (E) 26",E,代数,方程,一元方程;应用题,设第一缸数量为未知数，用总数建立一次方程。,
2024,AMC 8,,13,2024 AMC 8 Problem 13,"Buzz Bunny starts on the ground, makes six one-step hops up or down a staircase, never going below the ground, and ends on the ground. How many hop sequences are possible? (A) 4 (B) 5 (C) 6 (D) 8 (E) 12",B,组合数学,计数,路径计数;上下步,枚举含三个上步和三个下步且前缀不低于地面的序列。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,14,2024 AMC 8 Problem 14,"The directed routes have lengths A->M=8, A->X=5, X->M=2, X->Y=10, M->Y=6, M->C=14, Y->C=5, C->Z=10, Y->Z=17, and M->Z=25. What is the shortest distance from A to Z? (A) 28 (B) 29 (C) 30 (D) 31 (E) 32",A,组合数学,分类讨论,有向图;最短路,按可达节点逐层比较到达该节点的最短累计距离。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,15,2024 AMC 8 Problem 15,"F, L, Y, B, U, and G are distinct digits. FLYFLY is the largest number satisfying 8 x FLYFLY = BUGBUG. What is FLY + BUG? (A) 1089 (B) 1098 (C) 1107 (D) 1116 (E) 1125",C,数论,数字问题,位值;重复数字,利用 FLYFLY=1001*FLY 和 BUGBUG=1001*BUG 化简。,
2024,AMC 8,,16,2024 AMC 8 Problem 16,Minh places the integers 1 through 81 in a 9-by-9 grid. What is the least number of rows and columns whose product could be divisible by 3? (A) 8 (B) 9 (C) 10 (D) 11 (E) 12,D,组合数学,构造,网格;覆盖;倍数,把 3 的倍数集中放置，比较覆盖它们所需的最少行列数。,
2024,AMC 8,,17,2024 AMC 8 Problem 17,A white king and a black king are placed on different squares of a 3-by-3 chessboard so that they do not attack each other. In how many ordered placements can this be done? (A) 20 (B) 24 (C) 27 (D) 28 (E) 32,E,组合数学,计数,棋盘;补集计数,按角、边、中心位置分类统计不能相邻的第二个位置。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,18,2024 AMC 8 Problem 18,"Three concentric circles have radii 1, 2, and 3. The annulus from radius 1 to 2 is shaded, and a sector of the annulus from radius 2 to 3 is shaded. If shaded and unshaded areas are equal, what is the sector angle BOC? (A) 108 (B) 120 (C) 135 (D) 144 (E) 150",A,几何与测量,圆,圆环;扇形;面积,用圆环面积和扇形占整圆比例建立等面积关系。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,19,2024 AMC 8 Problem 19,"Jordan owns 15 pairs of sneakers. Nine pairs are red, six are white, ten are high-top, and five are low-top. What is the least possible fraction of the collection that is red high-top? (A) 0 (B) 1/5 (C) 4/15 (D) 1/3 (E) 2/5",C,组合数学,容斥,集合交集;最小值,用两类数量之和减去总数得到交集的最小值。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,20,2024 AMC 8 Problem 20,Any three vertices of cube PQRSTUVW form a triangle. How many equilateral triangles contain P? (A) 0 (B) 1 (C) 2 (D) 3 (E) 6,D,几何与测量,空间几何,立方体;空间距离,比较从 P 到其余顶点的距离并寻找三边相等的顶点组三元组。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
2024,AMC 8,,21,2024 AMC 8 Problem 21,"Initially green and yellow frogs were in the ratio 3:1. Then 3 green frogs moved to the sunny side and 5 yellow frogs moved to the shady side, producing ratio 4:1. What is the current difference between green and yellow frogs? (A) 10 (B) 12 (C) 16 (D) 20 (E) 24",E,算术与数感,比例,比例变化;应用题,用初始比例参数表示两类数量并代入交换后的比例。,
2024,AMC 8,,22,2024 AMC 8 Problem 22,"A tape roll has outer diameter 4 inches, inner diameter 2 inches, and tape thickness 0.015 inches. If completely unrolled, approximately how long is it, to the nearest 100 inches? (A) 300 (B) 600 (C) 1200 (D) 1500 (E) 1800",B,几何与测量,面积,圆环;体积守恒;近似,令卷起胶带的截面积等于展开后长度乘厚度。,题面包含图形；图形细节已对照原题 PDF 与 AoPS 题页
