year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2008,AMC 10,A,1,2008 AMC 10A Problem 1,A bakery owner turns on his doughnut machine at 8:30 AM. At 11:10 AM the machine has com- pleted one third of the day’s job. At what time will the doughnut machine complete the job? (A) 1:50 PM (B) 3:00 PM (C) 3:30 PM (D) 4:30 PM (E) 5:50 PM,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2008,AMC 10,A,2,2008 AMC 10A Problem 2,A square is drawn inside a rectangle. The ratio of the width of the rectangle to a side of the square is 2 : 1. The ratio of the rectangle’s length to its width is 2 : 1. What percent of the rectangle’s area is inside the square? (A) 12.5 (B) 25 (C) 50 (D) 75 (E) 87.5,,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2008,AMC 10,A,3,2008 AMC 10A Problem 3,"For the positive integer n, let ⟨n⟩ denote the sum of all the positive divisors of n with the ex- ception of n itself. For example, ⟨4⟩ = 1 + 2 = 3 and ⟨12⟩ = 1 + 2 + 3 + 4 + 6 = 16 What is ⟨⟨⟨6⟩⟩⟩? (A) 6 (B) 12 (C) 24 (D) 32 (E) 36",,数论,整数构造,整数;构造,用整数范围、构造和极值条件筛选可能值。,
2008,AMC 10,A,4,2008 AMC 10A Problem 4,Suppose that 2 of 10 bananas are worth as much as 8 oranges. How many oranges are worth 3 as much is 1 of 5 bananas? 2 (A) 2 (B) 5 (C) 3 (D) 7 (E) 4 2 2,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2008,AMC 10,A,5,2008 AMC 10A Problem 5,Which of the following is equal to the product 8 12 16 4n + 4 2008 · · · · · · · · ? 4 8 12 4n 2004 (A) 251 (B) 502 (C) 1004 (D) 2008 (E) 4016,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2008,AMC 10,A,6,2008 AMC 10A Problem 6,"A triathlete competes in a triathlon in which the swimming, biking, and running segments are all of the same length. The triathlete swims at a rate of 3 kilometers per hour, bikes at a rate of 20 kilometers per hour, and runs at a rate of 10 kilometers per hour. Which of the following is closest to the triathlete’s average speed, in kilometers per hour, for the entire race? (A) 3 (B) 4 (C) 5 (D) 6 (E) 7",,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,
2008,AMC 10,A,7,2008 AMC 10A Problem 7,The fraction (32008)2 − (32006)2 (32007)2 − (32005)2 simplifies to which of the following? (A) 1 (B) 9 (C) 3 (D) 9 (E) 9 4 2,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2008,AMC 10,A,8,2008 AMC 10A Problem 8,"Heather compares the price of a new computer at two different stores. Store A offers 15% off the sticker price followed by a $90 rebate, and store B offers 25% off the same sticker price with no rebate. Heather saves $15 by buying the computer at store A instead of store B. What is the sticker price of the computer, in dollars? (A) 750 (B) 900 (C) 1000 (D) 1050 (E) 1500",,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2008,AMC 10,A,9,2008 AMC 10A Problem 9,"Suppose that 2x x − 3 6 is an integer. Which of the following statements must be true about x? (A) It is negative. (B) It is even, but not necessarily a multiple of 3. (C) It is a multiple of 3, but not necessarily even. (D) It is a multiple of 6, but not necessarily a multiple of 12. (E) It is a multiple of 12.",,数论,整数构造,整数;构造,用整数范围、构造和极值条件筛选可能值。,
2008,AMC 10,A,10,2008 AMC 10A Problem 10,"Each of the sides of a square S with area 16 is bisected, and a smaller square S is constructed 1 2 using the bisection points as vertices. The same process is carried out on S to construct an 2 even smaller square S . What is the area of S ? 3 3 (A) 1 (B) 1 (C) 2 (D) 3 (E) 4 2",,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
