year,contest,form,problem_no,source,statement,answer,major_category,minor_category,tags,key_idea,notes
2015,AMC 12,A,1,2015 AMC 12A Problem 1,What is the value of (20 − 1 + 52 + 0)−1 × 5? 1 5 (A) − 125 (B) − 120 (C) (D) (E) 25 5 24,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2015,AMC 12,A,2,2015 AMC 12A Problem 2,Two of the three sides of a triangle are 20 and 15. Which of the following numbers is not a possible perimeter of the triangle? (A) 52 (B) 57 (C) 62 (D) 67 (E) 72,,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2015,AMC 12,A,3,2015 AMC 12A Problem 3,"Mr. Patrick teaches math to 15 students. He was grading tests and found that when he graded everyone’s test except Payton’s, the average grade for the class was 80. After he graded Payton’s test, the class average became 81. What was Payton’s score on the test? (A) 81 (B) 85 (C) 91 (D) 94 (E) 95",,概率与统计,平均数与数据集,平均数;数据,把平均数、总和或中位数条件转化为代数约束。,
2015,AMC 12,A,4,2015 AMC 12A Problem 4,The sum of two positive numbers is 5 times their difference. What is the ratio of the larger number to the smaller? 5 3 9 5 (A) (B) (C) (D) 2 (E) 4 2 5 2,,代数,运算与化简,代数;化简,通过代数化简、配对或基本运算降低计算量。,自动分类依据较弱，按代数主线暂归类
2015,AMC 12,A,5,2015 AMC 12A Problem 5,"Amelia needs to estimate the quantity a − c, where a, b, and c are large positive integers. She b rounds each of the integers so that the calculation will be easier to do mentally. In which of these situations will her answer necessarily be greater than the exact value of a − c? b (A) She rounds all three numbers up. (B) She rounds a and b up, and she rounds c down. (C) She rounds a and c up, and she rounds b down. (D) She rounds a up, and she rounds b and c down. (E) She rounds c up, and she rounds a and b down.",,数论,整数构造,整数;构造,用整数范围、构造和极值条件筛选可能值。,
2015,AMC 12,A,6,2015 AMC 12A Problem 6,"Two years ago Pete was three times as old as his cousin Claire. Two years before that, Pete was four times as old as Claire. In how many years will the ratio of their ages be 2 : 1? (A) 2 (B) 4 (C) 5 (D) 6 (E) 8",,代数,三角恒等式,三角函数;恒等式,用三角恒等式、角度关系或特殊角化简。,
2015,AMC 12,A,7,2015 AMC 12A Problem 7,Two right circular cylinders have the same volume. The radius of the second cylinder is 10% more than the radius of the first. What is the relationship between the heights of the two cylin- ders? (A) The second height is 10% less than the first. (B) The first height is 10% more than the second. (C) The second height is 21% less than the first. (D) The first height is 21% more than the second. (E) The second height is 80% of the first.,,几何,空间几何,空间几何;体积,用截面、相似、体积或空间距离关系建模。,
2015,AMC 12,A,8,2015 AMC 12A Problem 8,"The ratio of the length to the width of a rectangle is 4 : 3. If the rectangle has diagonal of length d, then the area may be expressed as kd2 for some constant k. What is k? 2 3 12 16 3 (A) (B) (C) (D) (E) 7 7 25 25 4",,几何,面积与相似,面积;比例,抓住面积比例、相似关系或周长约束建立方程。,
2015,AMC 12,A,9,2015 AMC 12A Problem 9,"A box contains 2 red marbles, 2 green marbles, and 2 yellow marbles. Carol takes 2 marbles from the box at random; then Claudia takes 2 of the remaining marbles at random; and then Cheryl takes the last two marbles. What is the probability that Cheryl gets 2 marbles of the same color? 1 1 1 1 1 (A) (B) (C) (D) (E) 10 6 5 3 2",,概率与统计,组合概率,概率;计数,分别计数有利情况与总情况，再化为概率。,
2015,AMC 12,A,10,2015 AMC 12A Problem 10,Integers x and y with x > y > 0 satisfy x + y + xy = 80. What is x? (A) 8 (B) 10 (C) 15 (D) 18 (E) 26,,数论,整数构造,整数;构造,用整数范围、构造和极值条件筛选可能值。,
